               epoch,      train/box_loss,      train/cls_loss,      train/dfl_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/cls_loss,        val/dfl_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              3.1483,              2.8387,              3.5007,             0.84241,             0.81675,             0.85747,             0.49415,              1.4231,              1.0447,              2.0593,             0.07001,           0.0033323,           0.0033323
                   1,              1.3729,             0.95782,              1.5913,             0.95622,             0.86266,             0.92723,             0.66867,             0.99066,             0.76505,              1.4231,            0.039944,           0.0065996,           0.0065996
                   2,              1.1478,             0.75977,              1.3444,             0.96267,             0.92575,             0.96512,             0.75029,              0.8202,             0.51406,              1.2563,           0.0098116,            0.009801,            0.009801
                   3,              1.0471,             0.67538,              1.2705,             0.96588,             0.94471,             0.97627,             0.76584,              0.7681,             0.47882,              1.2032,            0.009703,            0.009703,            0.009703
                   4,             0.96236,             0.59551,              1.2071,             0.98196,             0.94601,              0.9802,             0.79675,              0.7125,             0.41726,               1.151,            0.009703,            0.009703,            0.009703
                   5,             0.91238,             0.55858,              1.1765,             0.95836,              0.9684,             0.98124,             0.77409,             0.74037,              0.4119,              1.1662,            0.009604,            0.009604,            0.009604
                   6,             0.88151,             0.52913,              1.1556,             0.96367,             0.96389,              0.9815,             0.81075,             0.66693,             0.35748,              1.1095,            0.009505,            0.009505,            0.009505
                   7,             0.85369,              0.5068,              1.1401,             0.98214,             0.95551,             0.98386,             0.79785,             0.69157,             0.37148,              1.1503,            0.009406,            0.009406,            0.009406
                   8,             0.83585,             0.49191,              1.1268,             0.97002,             0.97104,             0.98507,             0.81319,             0.66442,               0.345,               1.113,            0.009307,            0.009307,            0.009307
                   9,             0.81982,             0.47911,              1.1206,             0.97583,             0.95893,              0.9844,             0.80982,              0.6634,             0.33827,              1.1134,            0.009208,            0.009208,            0.009208
                  10,             0.79992,             0.46231,              1.1081,             0.97151,             0.96976,             0.98622,             0.83058,             0.62515,             0.32473,              1.1022,            0.009109,            0.009109,            0.009109
                  11,              0.7893,             0.45781,              1.1013,             0.98342,             0.96682,             0.98833,              0.8253,             0.62164,             0.31512,              1.0878,             0.00901,             0.00901,             0.00901
                  12,             0.78288,             0.45247,              1.0996,             0.96645,             0.97314,             0.98336,             0.82853,             0.61338,             0.32325,              1.0883,            0.008911,            0.008911,            0.008911
                  13,             0.76195,             0.43559,              1.0867,             0.97749,             0.96998,             0.98954,              0.8427,             0.60011,             0.30436,              1.0703,            0.008812,            0.008812,            0.008812
                  14,             0.75502,             0.43045,              1.0832,             0.97311,             0.97201,             0.98829,              0.8339,              0.6099,               0.298,              1.0829,            0.008713,            0.008713,            0.008713
                  15,             0.74735,             0.42294,              1.0805,             0.98621,              0.9684,             0.98912,             0.83806,              0.6049,             0.29354,              1.0909,            0.008614,            0.008614,            0.008614
                  16,             0.73541,             0.41447,              1.0731,             0.98291,              0.9684,             0.99062,             0.82897,              0.6213,             0.29236,              1.1075,            0.008515,            0.008515,            0.008515
                  17,             0.73325,               0.411,              1.0727,             0.97892,             0.97156,             0.98881,             0.84375,             0.58733,             0.28289,              1.0789,            0.008416,            0.008416,            0.008416
                  18,             0.72326,             0.40634,               1.069,             0.98395,             0.96866,             0.98677,             0.84105,             0.58229,             0.27843,              1.0722,            0.008317,            0.008317,            0.008317
                  19,             0.72011,             0.40218,              1.0652,             0.98077,             0.96669,             0.98673,             0.84533,             0.56925,             0.27887,              1.0623,            0.008218,            0.008218,            0.008218
                  20,              0.7151,             0.39597,              1.0623,              0.9814,             0.97314,             0.98643,              0.8446,             0.57308,             0.27093,              1.0621,            0.008119,            0.008119,            0.008119
                  21,             0.70786,             0.39402,              1.0639,             0.98471,             0.96998,              0.9895,             0.84726,             0.56996,             0.27257,              1.0613,             0.00802,             0.00802,             0.00802
                  22,             0.70278,             0.39062,              1.0545,             0.98466,              0.9684,             0.98874,             0.84643,              0.5606,             0.27501,              1.0517,            0.007921,            0.007921,            0.007921
                  23,             0.69616,             0.38489,              1.0527,             0.98337,             0.96682,             0.98786,             0.84849,             0.56667,             0.26562,              1.0566,            0.007822,            0.007822,            0.007822
                  24,             0.69023,             0.37962,              1.0509,             0.98431,             0.97156,             0.98876,             0.85189,             0.56888,             0.26435,              1.0585,            0.007723,            0.007723,            0.007723
                  25,             0.69311,             0.38161,               1.048,             0.98095,             0.97609,             0.99027,             0.85184,             0.56834,             0.26173,               1.058,            0.007624,            0.007624,            0.007624
                  26,             0.68596,             0.37658,              1.0495,             0.98401,             0.97245,             0.98899,             0.85096,              0.5651,             0.26379,              1.0593,            0.007525,            0.007525,            0.007525
                  27,             0.67941,             0.37204,              1.0449,             0.98552,              0.9674,             0.99083,             0.85454,             0.55969,             0.25915,              1.0511,            0.007426,            0.007426,            0.007426
                  28,             0.67987,             0.37208,              1.0464,             0.98554,             0.96886,             0.98841,             0.85857,             0.54527,              0.2505,               1.035,            0.007327,            0.007327,            0.007327
                  29,             0.67627,             0.37285,              1.0434,             0.98341,             0.96998,             0.98945,             0.85983,             0.54177,             0.25208,              1.0383,            0.007228,            0.007228,            0.007228
                  30,             0.66935,             0.36527,              1.0381,             0.98464,             0.97314,             0.98865,             0.86131,             0.54363,             0.25442,              1.0384,            0.007129,            0.007129,            0.007129
                  31,             0.66609,             0.36356,              1.0407,             0.98398,             0.97061,             0.98935,             0.86463,             0.54245,             0.25149,              1.0376,             0.00703,             0.00703,             0.00703
                  32,             0.66193,             0.35831,              1.0327,             0.98603,             0.97472,             0.99043,             0.86247,             0.53801,             0.24854,              1.0356,            0.006931,            0.006931,            0.006931
                  33,             0.65964,             0.35929,              1.0384,             0.98541,              0.9763,             0.99171,             0.86547,             0.52933,             0.24514,              1.0315,            0.006832,            0.006832,            0.006832
